EVALUATION RESULTS:

>>>>>>[EMBRYONAL] - 1.1 - 1/30: train_loss: 0.53069 | train_acc: 80.624 | train_precision: 0.095 | train_recall: 0.029 | train_auc: 0.489
val_loss: 0.53508 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.53001 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 2/30: train_loss: 0.40023 | train_acc: 85.301 | train_precision: 1.000 | train_recall: 0.057 | train_auc: 0.529
val_loss: 0.40492 | val_acc: 88.710 | val_precision: 1.000 | val_recall: 0.364 | val_auc: 0.682
test_loss: 0.40220 | test_acc: 92.157 | test_precision: 1.000 | test_recall: 0.556 | test_auc: 0.778

>>>>>>[EMBRYONAL] - 1.1 - 3/30: train_loss: 0.33416 | train_acc: 86.414 | train_precision: 1.000 | train_recall: 0.129 | train_auc: 0.564
val_loss: 0.33332 | val_acc: 87.097 | val_precision: 1.000 | val_recall: 0.273 | val_auc: 0.636
test_loss: 0.33116 | test_acc: 87.582 | test_precision: 1.000 | test_recall: 0.296 | test_auc: 0.648

>>>>>>[EMBRYONAL] - 1.1 - 4/30: train_loss: 0.29310 | train_acc: 89.532 | train_precision: 1.000 | train_recall: 0.329 | train_auc: 0.664
val_loss: 0.30329 | val_acc: 86.290 | val_precision: 1.000 | val_recall: 0.227 | val_auc: 0.614
test_loss: 0.30047 | test_acc: 86.928 | test_precision: 1.000 | test_recall: 0.259 | test_auc: 0.630

>>>>>>[EMBRYONAL] - 1.1 - 5/30: train_loss: 0.25765 | train_acc: 90.423 | train_precision: 1.000 | train_recall: 0.386 | train_auc: 0.693
val_loss: 0.27309 | val_acc: 88.710 | val_precision: 1.000 | val_recall: 0.364 | val_auc: 0.682
test_loss: 0.26990 | test_acc: 88.889 | test_precision: 1.000 | test_recall: 0.370 | test_auc: 0.685

>>>>>>[EMBRYONAL] - 1.1 - 6/30: train_loss: 0.23033 | train_acc: 93.541 | train_precision: 0.977 | train_recall: 0.600 | train_auc: 0.799
val_loss: 0.26202 | val_acc: 88.710 | val_precision: 1.000 | val_recall: 0.364 | val_auc: 0.682
test_loss: 0.25758 | test_acc: 88.235 | test_precision: 1.000 | test_recall: 0.333 | test_auc: 0.667

>>>>>>[EMBRYONAL] - 1.1 - 7/30: train_loss: 0.21295 | train_acc: 95.323 | train_precision: 0.980 | train_recall: 0.714 | train_auc: 0.856
val_loss: 0.23097 | val_acc: 91.935 | val_precision: 1.000 | val_recall: 0.545 | val_auc: 0.773
test_loss: 0.22624 | test_acc: 92.810 | test_precision: 1.000 | test_recall: 0.593 | test_auc: 0.796

>>>>>>[EMBRYONAL] - 1.1 - 8/30: train_loss: 0.20785 | train_acc: 95.991 | train_precision: 1.000 | train_recall: 0.743 | train_auc: 0.871
val_loss: 0.21291 | val_acc: 93.548 | val_precision: 1.000 | val_recall: 0.636 | val_auc: 0.818
test_loss: 0.20745 | test_acc: 94.771 | test_precision: 1.000 | test_recall: 0.704 | test_auc: 0.852

>>>>>>[EMBRYONAL] - 1.1 - 9/30: train_loss: 0.18050 | train_acc: 96.214 | train_precision: 1.000 | train_recall: 0.757 | train_auc: 0.879
val_loss: 0.19227 | val_acc: 95.161 | val_precision: 0.944 | val_recall: 0.773 | val_auc: 0.881
test_loss: 0.18900 | test_acc: 96.078 | test_precision: 1.000 | test_recall: 0.778 | test_auc: 0.889

>>>>>>[EMBRYONAL] - 1.1 - 10/30: train_loss: 0.17105 | train_acc: 95.768 | train_precision: 0.964 | train_recall: 0.757 | train_auc: 0.876
val_loss: 0.18099 | val_acc: 95.161 | val_precision: 1.000 | val_recall: 0.727 | val_auc: 0.864
test_loss: 0.17586 | test_acc: 96.078 | test_precision: 1.000 | test_recall: 0.778 | test_auc: 0.889

>>>>>>[EMBRYONAL] - 1.1 - 11/30: train_loss: 0.16373 | train_acc: 96.659 | train_precision: 1.000 | train_recall: 0.786 | train_auc: 0.893
val_loss: 0.17149 | val_acc: 95.968 | val_precision: 1.000 | val_recall: 0.773 | val_auc: 0.886
test_loss: 0.16564 | test_acc: 96.078 | test_precision: 1.000 | test_recall: 0.778 | test_auc: 0.889

>>>>>>[EMBRYONAL] - 1.1 - 12/30: train_loss: 0.15668 | train_acc: 96.437 | train_precision: 0.950 | train_recall: 0.814 | train_auc: 0.903
