EVALUATION RESULTS:

>>>>>>[EMBRYONAL] - 1.1 - 1/30: train_loss: 0.46941 | train_acc: 86.192 | train_precision: 0.833 | train_recall: 0.143 | train_auc: 0.569
val_loss: 0.47304 | val_acc: 83.871 | val_precision: 1.000 | val_recall: 0.091 | val_auc: 0.545
test_loss: 0.46652 | test_acc: 84.314 | test_precision: 1.000 | test_recall: 0.111 | test_auc: 0.556

>>>>>>[EMBRYONAL] - 1.1 - 2/30: train_loss: 0.44447 | train_acc: 85.746 | train_precision: 1.000 | train_recall: 0.086 | train_auc: 0.543
val_loss: 0.45022 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.44422 | test_acc: 84.314 | test_precision: 1.000 | test_recall: 0.111 | test_auc: 0.556

>>>>>>[EMBRYONAL] - 1.1 - 3/30: train_loss: 0.42246 | train_acc: 84.633 | train_precision: 1.000 | train_recall: 0.014 | train_auc: 0.507
val_loss: 0.43074 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.42522 | test_acc: 83.007 | test_precision: 1.000 | test_recall: 0.037 | test_auc: 0.519

>>>>>>[EMBRYONAL] - 1.1 - 4/30: train_loss: 0.39886 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.41420 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.40913 | test_acc: 83.007 | test_precision: 1.000 | test_recall: 0.037 | test_auc: 0.519

>>>>>>[EMBRYONAL] - 1.1 - 5/30: train_loss: 0.38538 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.39969 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.39504 | test_acc: 83.007 | test_precision: 1.000 | test_recall: 0.037 | test_auc: 0.519

>>>>>>[EMBRYONAL] - 1.1 - 6/30: train_loss: 0.36707 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.38716 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.38290 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 7/30: train_loss: 0.35392 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.37624 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.37234 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 8/30: train_loss: 0.34598 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.36669 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.36312 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 9/30: train_loss: 0.33497 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.35798 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.35474 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 10/30: train_loss: 0.32503 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.35036 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.34741 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 11/30: train_loss: 0.31811 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.34340 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.34073 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 12/30: train_loss: 0.31922 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.33696 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
