EVALUATION RESULTS:

>>>>>>[EMBRYONAL] - 1.1 - 1/30: train_loss: 0.44001 | train_acc: 78.396 | train_precision: 0.065 | train_recall: 0.029 | train_auc: 0.476
val_loss: 0.32082 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.32120 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 2/30: train_loss: 0.23697 | train_acc: 87.305 | train_precision: 1.000 | train_recall: 0.186 | train_auc: 0.593
val_loss: 0.20702 | val_acc: 91.129 | val_precision: 1.000 | val_recall: 0.500 | val_auc: 0.750
test_loss: 0.20909 | test_acc: 90.850 | test_precision: 1.000 | test_recall: 0.481 | test_auc: 0.741

>>>>>>[EMBRYONAL] - 1.1 - 3/30: train_loss: 0.15764 | train_acc: 95.991 | train_precision: 1.000 | train_recall: 0.743 | train_auc: 0.871
val_loss: 0.14771 | val_acc: 97.581 | val_precision: 1.000 | val_recall: 0.864 | val_auc: 0.932
test_loss: 0.15030 | test_acc: 96.732 | test_precision: 1.000 | test_recall: 0.815 | test_auc: 0.907

>>>>>>[EMBRYONAL] - 1.1 - 4/30: train_loss: 0.11863 | train_acc: 97.550 | train_precision: 1.000 | train_recall: 0.843 | train_auc: 0.921
val_loss: 0.11244 | val_acc: 97.581 | val_precision: 1.000 | val_recall: 0.864 | val_auc: 0.932
test_loss: 0.11511 | test_acc: 98.039 | test_precision: 1.000 | test_recall: 0.889 | test_auc: 0.944

>>>>>>[EMBRYONAL] - 1.1 - 5/30: train_loss: 0.10016 | train_acc: 98.218 | train_precision: 1.000 | train_recall: 0.886 | train_auc: 0.943
val_loss: 0.09217 | val_acc: 98.387 | val_precision: 1.000 | val_recall: 0.909 | val_auc: 0.955
test_loss: 0.09282 | test_acc: 99.346 | test_precision: 1.000 | test_recall: 0.963 | test_auc: 0.981

>>>>>>[EMBRYONAL] - 1.1 - 6/30: train_loss: 0.07713 | train_acc: 99.332 | train_precision: 1.000 | train_recall: 0.957 | train_auc: 0.979
val_loss: 0.07962 | val_acc: 98.387 | val_precision: 1.000 | val_recall: 0.909 | val_auc: 0.955
test_loss: 0.07855 | test_acc: 99.346 | test_precision: 1.000 | test_recall: 0.963 | test_auc: 0.981

>>>>>>[EMBRYONAL] - 1.1 - 7/30: train_loss: 0.06562 | train_acc: 99.109 | train_precision: 1.000 | train_recall: 0.943 | train_auc: 0.971
val_loss: 0.06713 | val_acc: 99.194 | val_precision: 1.000 | val_recall: 0.955 | val_auc: 0.977
test_loss: 0.06584 | test_acc: 99.346 | test_precision: 1.000 | test_recall: 0.963 | test_auc: 0.981

