EVALUATION RESULTS:

>>>>>>[EMBRYONAL] - 1.1 - 1/30: train_loss: 0.40814 | train_acc: 79.510 | train_precision: 0.133 | train_recall: 0.057 | train_auc: 0.494
val_loss: 0.30121 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.30264 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 2/30: train_loss: 0.21340 | train_acc: 89.310 | train_precision: 1.000 | train_recall: 0.314 | train_auc: 0.657
val_loss: 0.18974 | val_acc: 91.129 | val_precision: 1.000 | val_recall: 0.500 | val_auc: 0.750
test_loss: 0.19153 | test_acc: 92.810 | test_precision: 1.000 | test_recall: 0.593 | test_auc: 0.796

>>>>>>[EMBRYONAL] - 1.1 - 3/30: train_loss: 0.14198 | train_acc: 95.323 | train_precision: 1.000 | train_recall: 0.700 | train_auc: 0.850
val_loss: 0.13391 | val_acc: 99.194 | val_precision: 1.000 | val_recall: 0.955 | val_auc: 0.977
test_loss: 0.13571 | test_acc: 98.693 | test_precision: 1.000 | test_recall: 0.926 | test_auc: 0.963

>>>>>>[EMBRYONAL] - 1.1 - 4/30: train_loss: 0.10628 | train_acc: 99.109 | train_precision: 1.000 | train_recall: 0.943 | train_auc: 0.971
val_loss: 0.10288 | val_acc: 99.194 | val_precision: 1.000 | val_recall: 0.955 | val_auc: 0.977
test_loss: 0.10305 | test_acc: 99.346 | test_precision: 1.000 | test_recall: 0.963 | test_auc: 0.981

>>>>>>[EMBRYONAL] - 1.1 - 5/30: train_loss: 0.08542 | train_acc: 98.886 | train_precision: 1.000 | train_recall: 0.929 | train_auc: 0.964
val_loss: 0.08341 | val_acc: 99.194 | val_precision: 1.000 | val_recall: 0.955 | val_auc: 0.977
test_loss: 0.08340 | test_acc: 99.346 | test_precision: 1.000 | test_recall: 0.963 | test_auc: 0.981

>>>>>>[EMBRYONAL] - 1.1 - 6/30: train_loss: 0.07051 | train_acc: 99.109 | train_precision: 1.000 | train_recall: 0.943 | train_auc: 0.971
val_loss: 0.07197 | val_acc: 99.194 | val_precision: 1.000 | val_recall: 0.955 | val_auc: 0.977
test_loss: 0.06947 | test_acc: 99.346 | test_precision: 1.000 | test_recall: 0.963 | test_auc: 0.981

>>>>>>[EMBRYONAL] - 1.1 - 7/30: train_loss: 0.05940 | train_acc: 99.332 | train_precision: 1.000 | train_recall: 0.957 | train_auc: 0.979
val_loss: 0.06082 | val_acc: 99.194 | val_precision: 1.000 | val_recall: 0.955 | val_auc: 0.977
test_loss: 0.05814 | test_acc: 99.346 | test_precision: 1.000 | test_recall: 0.963 | test_auc: 0.981

>>>>>>[EMBRYONAL] - 1.1 - 8/30: train_loss: 0.05088 | train_acc: 99.332 | train_precision: 1.000 | train_recall: 0.957 | train_auc: 0.979
val_loss: 0.05571 | val_acc: 99.194 | val_precision: 1.000 | val_recall: 0.955 | val_auc: 0.977
test_loss: 0.05171 | test_acc: 99.346 | test_precision: 1.000 | test_recall: 0.963 | test_auc: 0.981

>>>>>>[EMBRYONAL] - 1.1 - 9/30: train_loss: 0.04590 | train_acc: 99.332 | train_precision: 1.000 | train_recall: 0.957 | train_auc: 0.979
val_loss: 0.04881 | val_acc: 99.194 | val_precision: 1.000 | val_recall: 0.955 | val_auc: 0.977
test_loss: 0.04471 | test_acc: 99.346 | test_precision: 1.000 | test_recall: 0.963 | test_auc: 0.981

>>>>>>[EMBRYONAL] - 1.1 - 10/30: train_loss: 0.04051 | train_acc: 99.777 | train_precision: 1.000 | train_recall: 0.986 | train_auc: 0.993
val_loss: 0.04609 | val_acc: 99.194 | val_precision: 1.000 | val_recall: 0.955 | val_auc: 0.977
test_loss: 0.04118 | test_acc: 99.346 | test_precision: 1.000 | test_recall: 0.963 | test_auc: 0.981

>>>>>>[EMBRYONAL] - 1.1 - 11/30: train_loss: 0.03594 | train_acc: 99.777 | train_precision: 1.000 | train_recall: 0.986 | train_auc: 0.993
val_loss: 0.03889 | val_acc: 99.194 | val_precision: 1.000 | val_recall: 0.955 | val_auc: 0.977
test_loss: 0.03447 | test_acc: 100.000 | test_precision: 1.000 | test_recall: 1.000 | test_auc: 1.000

>>>>>>[EMBRYONAL] - 1.1 - 12/30: train_loss: 0.03490 | train_acc: 99.777 | train_precision: 1.000 | train_recall: 0.986 | train_auc: 0.993
val_loss: 0.03501 | val_acc: 99.194 | val_precision: 1.000 | val_recall: 0.955 | val_auc: 0.977
test_loss: 0.03074 | test_acc: 100.000 | test_precision: 1.000 | test_recall: 1.000 | test_auc: 1.000

>>>>>>[EMBRYONAL] - 1.1 - 13/30: train_loss: 0.02934 | train_acc: 99.777 | train_precision: 1.000 | train_recall: 0.986 | train_auc: 0.993
val_loss: 0.03274 | val_acc: 99.194 | val_precision: 1.000 | val_recall: 0.955 | val_auc: 0.977
test_loss: 0.02818 | test_acc: 100.000 | test_precision: 1.000 | test_recall: 1.000 | test_auc: 1.000

>>>>>>[EMBRYONAL] - 1.1 - 14/30: train_loss: 0.02935 | train_acc: 99.777 | train_precision: 1.000 | train_recall: 0.986 | train_auc: 0.993
