EVALUATION RESULTS:

>>>>>>[EMBRYONAL] - 1.0 - 1/5: train_loss: 0.47791 | train_acc: 71.111 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.421
val_loss: 0.55407 | val_acc: 82.353 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500

>>>>>>[EMBRYONAL] - 1.0 - 2/5: train_loss: 0.40198 | train_acc: 84.444 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.49423 | val_acc: 82.353 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500

>>>>>>[EMBRYONAL] - 1.0 - 3/5: train_loss: 0.26415 | train_acc: 84.444 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.31563 | val_acc: 83.007 | val_precision: 1.000 | val_recall: 0.037 | val_auc: 0.519

>>>>>>[EMBRYONAL] - 1.0 - 4/5: train_loss: 0.18737 | train_acc: 97.778 | train_precision: 1.000 | train_recall: 0.857 | train_auc: 0.929
val_loss: 0.25752 | val_acc: 92.157 | val_precision: 1.000 | val_recall: 0.556 | val_auc: 0.778

>>>>>>[EMBRYONAL] - 1.0 - 5/5: train_loss: 0.15314 | train_acc: 100.000 | train_precision: 1.000 | train_recall: 1.000 | train_auc: 1.000
val_loss: 0.22127 | val_acc: 90.850 | val_precision: 1.000 | val_recall: 0.481 | val_auc: 0.741

>>>>>>[EMBRYONAL] - 1.1 - 1/5: train_loss: 0.21844 | train_acc: 90.200 | train_precision: 0.771 | train_recall: 0.529 | train_auc: 0.750
val_loss: 0.08920 | val_acc: 98.387 | val_precision: 1.000 | val_recall: 0.909 | val_auc: 0.955

>>>>>>[EMBRYONAL] - 1.1 - 2/5: train_loss: 0.05994 | train_acc: 98.886 | train_precision: 1.000 | train_recall: 0.929 | train_auc: 0.964
val_loss: 0.04923 | val_acc: 99.194 | val_precision: 1.000 | val_recall: 0.955 | val_auc: 0.977

>>>>>>[EMBRYONAL] - 1.1 - 3/5: train_loss: 0.03846 | train_acc: 99.777 | train_precision: 1.000 | train_recall: 0.986 | train_auc: 0.993
val_loss: 0.03326 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 1.1 - 4/5: train_loss: 0.02537 | train_acc: 99.777 | train_precision: 1.000 | train_recall: 0.986 | train_auc: 0.993
val_loss: 0.02652 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 1.1 - 5/5: train_loss: 0.01965 | train_acc: 99.777 | train_precision: 1.000 | train_recall: 0.986 | train_auc: 0.993
val_loss: 0.02182 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 1.2 - 1/5: train_loss: 0.20480 | train_acc: 92.747 | train_precision: 0.913 | train_recall: 0.592 | train_auc: 0.791
val_loss: 0.10506 | val_acc: 99.153 | val_precision: 1.000 | val_recall: 0.952 | val_auc: 0.976

>>>>>>[EMBRYONAL] - 1.2 - 2/5: train_loss: 0.05775 | train_acc: 98.681 | train_precision: 0.985 | train_recall: 0.930 | train_auc: 0.963
val_loss: 0.06191 | val_acc: 99.153 | val_precision: 0.955 | val_recall: 1.000 | val_auc: 0.995

>>>>>>[EMBRYONAL] - 1.2 - 3/5: train_loss: 0.03262 | train_acc: 99.780 | train_precision: 1.000 | train_recall: 0.986 | train_auc: 0.993
val_loss: 0.04531 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 1.2 - 4/5: train_loss: 0.02328 | train_acc: 100.000 | train_precision: 1.000 | train_recall: 1.000 | train_auc: 1.000
val_loss: 0.03369 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 1.2 - 5/5: train_loss: 0.01699 | train_acc: 100.000 | train_precision: 1.000 | train_recall: 1.000 | train_auc: 1.000
val_loss: 0.02757 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 1.3 - 1/5: train_loss: 0.20519 | train_acc: 93.900 | train_precision: 0.911 | train_recall: 0.689 | train_auc: 0.838
val_loss: 0.07935 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 1.3 - 2/5: train_loss: 0.05660 | train_acc: 99.346 | train_precision: 1.000 | train_recall: 0.959 | train_auc: 0.980
val_loss: 0.03676 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 1.3 - 3/5: train_loss: 0.03392 | train_acc: 99.782 | train_precision: 1.000 | train_recall: 0.986 | train_auc: 0.993
val_loss: 0.02614 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 1.3 - 4/5: train_loss: 0.02350 | train_acc: 100.000 | train_precision: 1.000 | train_recall: 1.000 | train_auc: 1.000
val_loss: 0.01698 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 1.3 - 5/5: train_loss: 0.01806 | train_acc: 100.000 | train_precision: 1.000 | train_recall: 1.000 | train_auc: 1.000
val_loss: 0.01322 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 1.4 - 1/5: train_loss: 0.18138 | train_acc: 93.074 | train_precision: 0.939 | train_recall: 0.613 | train_auc: 0.803
val_loss: 0.09791 | val_acc: 98.198 | val_precision: 0.895 | val_recall: 1.000 | val_auc: 0.989

>>>>>>[EMBRYONAL] - 1.4 - 2/5: train_loss: 0.05278 | train_acc: 99.351 | train_precision: 1.000 | train_recall: 0.960 | train_auc: 0.980
val_loss: 0.03888 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 1.4 - 3/5: train_loss: 0.03303 | train_acc: 99.567 | train_precision: 1.000 | train_recall: 0.973 | train_auc: 0.987
val_loss: 0.02669 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 1.4 - 4/5: train_loss: 0.02392 | train_acc: 99.567 | train_precision: 1.000 | train_recall: 0.973 | train_auc: 0.987
val_loss: 0.02555 | val_acc: 99.099 | val_precision: 0.944 | val_recall: 1.000 | val_auc: 0.995

>>>>>>[EMBRYONAL] - 1.4 - 5/5: train_loss: 0.01843 | train_acc: 100.000 | train_precision: 1.000 | train_recall: 1.000 | train_auc: 1.000
val_loss: 0.01810 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 1.5 - 1/5: train_loss: 0.22612 | train_acc: 91.649 | train_precision: 0.855 | train_recall: 0.603 | train_auc: 0.791
val_loss: 0.07917 | val_acc: 99.057 | val_precision: 1.000 | val_recall: 0.929 | val_auc: 0.964

>>>>>>[EMBRYONAL] - 1.5 - 2/5: train_loss: 0.05732 | train_acc: 98.929 | train_precision: 0.974 | train_recall: 0.962 | train_auc: 0.978
val_loss: 0.04634 | val_acc: 99.057 | val_precision: 1.000 | val_recall: 0.929 | val_auc: 0.964

>>>>>>[EMBRYONAL] - 1.5 - 3/5: train_loss: 0.03428 | train_acc: 99.786 | train_precision: 1.000 | train_recall: 0.987 | train_auc: 0.994
val_loss: 0.03200 | val_acc: 99.057 | val_precision: 1.000 | val_recall: 0.929 | val_auc: 0.964

>>>>>>[EMBRYONAL] - 1.5 - 4/5: train_loss: 0.02647 | train_acc: 99.786 | train_precision: 1.000 | train_recall: 0.987 | train_auc: 0.994
val_loss: 0.02906 | val_acc: 99.057 | val_precision: 1.000 | val_recall: 0.929 | val_auc: 0.964

>>>>>>[EMBRYONAL] - 1.5 - 5/5: train_loss: 0.01775 | train_acc: 100.000 | train_precision: 1.000 | train_recall: 1.000 | train_auc: 1.000
val_loss: 0.02306 | val_acc: 99.057 | val_precision: 1.000 | val_recall: 0.929 | val_auc: 0.964

>>>>>>[EMBRYONAL] - 2.0 - 1/5: train_loss: 0.21754 | train_acc: 91.986 | train_precision: 0.883 | train_recall: 0.576 | train_auc: 0.781
val_loss: 0.07952 | val_acc: 98.684 | val_precision: 1.000 | val_recall: 0.926 | val_auc: 0.963

>>>>>>[EMBRYONAL] - 2.0 - 2/5: train_loss: 0.05062 | train_acc: 99.652 | train_precision: 0.989 | train_recall: 0.989 | train_auc: 0.994
val_loss: 0.04789 | val_acc: 98.684 | val_precision: 1.000 | val_recall: 0.926 | val_auc: 0.963

>>>>>>[EMBRYONAL] - 2.0 - 3/5: train_loss: 0.03018 | train_acc: 100.000 | train_precision: 1.000 | train_recall: 1.000 | train_auc: 1.000
val_loss: 0.04120 | val_acc: 98.684 | val_precision: 1.000 | val_recall: 0.926 | val_auc: 0.963

>>>>>>[EMBRYONAL] - 2.0 - 4/5: train_loss: 0.02226 | train_acc: 100.000 | train_precision: 1.000 | train_recall: 1.000 | train_auc: 1.000
val_loss: 0.02508 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 2.0 - 5/5: train_loss: 0.01646 | train_acc: 100.000 | train_precision: 1.000 | train_recall: 1.000 | train_auc: 1.000
val_loss: 0.02780 | val_acc: 98.684 | val_precision: 1.000 | val_recall: 0.926 | val_auc: 0.963

>>>>>>[EMBRYONAL] - 2.1 - 1/5: train_loss: 0.25141 | train_acc: 90.222 | train_precision: 0.783 | train_recall: 0.514 | train_auc: 0.744
val_loss: 0.11297 | val_acc: 98.387 | val_precision: 0.955 | val_recall: 0.955 | val_auc: 0.972

>>>>>>[EMBRYONAL] - 2.1 - 2/5: train_loss: 0.05855 | train_acc: 99.333 | train_precision: 1.000 | train_recall: 0.957 | train_auc: 0.979
val_loss: 0.06810 | val_acc: 99.194 | val_precision: 1.000 | val_recall: 0.955 | val_auc: 0.977

>>>>>>[EMBRYONAL] - 2.1 - 3/5: train_loss: 0.03421 | train_acc: 99.778 | train_precision: 1.000 | train_recall: 0.986 | train_auc: 0.993
val_loss: 0.06391 | val_acc: 97.581 | val_precision: 0.880 | val_recall: 1.000 | val_auc: 0.985

>>>>>>[EMBRYONAL] - 2.1 - 4/5: train_loss: 0.02580 | train_acc: 99.778 | train_precision: 1.000 | train_recall: 0.986 | train_auc: 0.993
val_loss: 0.04409 | val_acc: 99.194 | val_precision: 0.957 | val_recall: 1.000 | val_auc: 0.995

>>>>>>[EMBRYONAL] - 2.1 - 5/5: train_loss: 0.01712 | train_acc: 100.000 | train_precision: 1.000 | train_recall: 1.000 | train_auc: 1.000
val_loss: 0.04100 | val_acc: 99.194 | val_precision: 0.957 | val_recall: 1.000 | val_auc: 0.995

>>>>>>[EMBRYONAL] - 2.2 - 1/5: train_loss: 0.18825 | train_acc: 94.286 | train_precision: 1.000 | train_recall: 0.634 | train_auc: 0.817
val_loss: 0.08056 | val_acc: 99.160 | val_precision: 1.000 | val_recall: 0.952 | val_auc: 0.976

>>>>>>[EMBRYONAL] - 2.2 - 2/5: train_loss: 0.05034 | train_acc: 99.560 | train_precision: 1.000 | train_recall: 0.972 | train_auc: 0.986
val_loss: 0.04167 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 2.2 - 3/5: train_loss: 0.03356 | train_acc: 99.780 | train_precision: 1.000 | train_recall: 0.986 | train_auc: 0.993
val_loss: 0.02863 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 2.2 - 4/5: train_loss: 0.02096 | train_acc: 100.000 | train_precision: 1.000 | train_recall: 1.000 | train_auc: 1.000
val_loss: 0.02030 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 2.2 - 5/5: train_loss: 0.01512 | train_acc: 100.000 | train_precision: 1.000 | train_recall: 1.000 | train_auc: 1.000
val_loss: 0.01566 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 2.3 - 1/5: train_loss: 0.21698 | train_acc: 91.739 | train_precision: 0.875 | train_recall: 0.568 | train_auc: 0.776
val_loss: 0.09649 | val_acc: 97.368 | val_precision: 1.000 | val_recall: 0.833 | val_auc: 0.917

>>>>>>[EMBRYONAL] - 2.3 - 2/5: train_loss: 0.05520 | train_acc: 98.913 | train_precision: 0.986 | train_recall: 0.946 | train_auc: 0.972
val_loss: 0.04849 | val_acc: 99.123 | val_precision: 1.000 | val_recall: 0.944 | val_auc: 0.972

>>>>>>[EMBRYONAL] - 2.3 - 3/5: train_loss: 0.03339 | train_acc: 99.565 | train_precision: 0.986 | train_recall: 0.986 | train_auc: 0.992
val_loss: 0.02874 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 2.3 - 4/5: train_loss: 0.02455 | train_acc: 99.783 | train_precision: 1.000 | train_recall: 0.986 | train_auc: 0.993
val_loss: 0.02102 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 2.3 - 5/5: train_loss: 0.01828 | train_acc: 100.000 | train_precision: 1.000 | train_recall: 1.000 | train_auc: 1.000
val_loss: 0.01549 | val_acc: 100.000 | val_precision: 1.000 | val_recall: 1.000 | val_auc: 1.000

>>>>>>[EMBRYONAL] - 2.4 - 1/5: train_loss: 0.21694 | train_acc: 92.441 | train_precision: 0.976 | train_recall: 0.547 | train_auc: 0.772
val_loss: 0.06373 | val_acc: 99.099 | val_precision: 1.000 | val_recall: 0.941 | val_auc: 0.971

>>>>>>[EMBRYONAL] - 2.4 - 2/5: train_loss: 0.05692 | train_acc: 99.352 | train_precision: 1.000 | train_recall: 0.960 | train_auc: 0.980
